Date,Open,High,Low,Close,Volume,Time
01-01-2024,642.2,642.7,641,641.95,89481,09:15:00
01-01-2024,641.95,642.85,641.95,642.45,48965,09:16:00
01-01-2024,642.7,644,642.7,643.5,65729,09:17:00
01-01-2024,643.9,644.55,643.3,643.4,47909,09:18:00
01-01-2024,643.7,644.1,643.45,643.75,27645,09:19:00
01-01-2024,643.75,644,643.2,643.45,39094,09:20:00
01-01-2024,643.3,643.95,643.3,643.6,11082,09:21:00
01-01-2024,643.6,643.95,643.2,643.4,22129,09:22:00
01-01-2024,643.35,643.9,643.3,643.55,9470,09:23:00
01-01-2024,643.55,645.7,643.55,645.5,91865,09:24:00
01-01-2024,645.55,645.65,644.5,645,37769,09:25:00
01-01-2024,644.65,644.95,644.25,644.4,18947,09:26:00
01-01-2024,643.85,644.25,643.7,643.9,14860,09:27:00
01-01-2024,644.2,644.45,643.6,644.45,13256,09:28:00
01-01-2024,644.45,644.45,643.8,644,12833,09:29:00
01-01-2024,643.7,644.2,643.5,644.1,13928,09:30:00
01-01-2024,644.1,644.15,643.35,643.7,13346,09:31:00
01-01-2024,643.5,643.95,643.4,643.65,6099,09:32:00
01-01-2024,643.8,644.45,643.05,644.4,31106,09:33:00
01-01-2024,644.4,645,644.1,644.8,22183,09:34:00
01-01-2024,644.8,645,644.5,644.6,16095,09:35:00
01-01-2024,644.6,644.9,644.15,644.85,30302,09:36:00
01-01-2024,644.8,644.9,644.1,644.35,17571,09:37:00
01-01-2024,644.3,644.55,644,644.45,36734,09:38:00
01-01-2024,644.45,644.45,643.25,643.4,63096,09:39:00
01-01-2024,643.25,644.1,643.05,643.8,19989,09:40:00
01-01-2024,643.8,644.45,643.5,643.7,23776,09:41:00
01-01-2024,644,644.15,643.5,643.5,12044,09:42:00
01-01-2024,643.5,644,643.5,643.75,7502,09:43:00
01-01-2024,643.75,643.75,643.05,643.25,22172,09:44:00
01-01-2024,643.3,643.85,643.3,643.6,14832,09:45:00
01-01-2024,643.4,644,643.1,643.9,21881,09:46:00
01-01-2024,643.6,643.9,643.15,643.5,16708,09:47:00
01-01-2024,643.35,644.1,643.35,644,25735,09:48:00
01-01-2024,644,645.05,644,644.8,52177,09:49:00
01-01-2024,644.95,645,644.75,645,12346,09:50:00
01-01-2024,645,645,644.3,644.3,16676,09:51:00
01-01-2024,644.3,645,644.3,645,9333,09:52:00
01-01-2024,644.85,645.95,644.85,645.8,59883,09:53:00
01-01-2024,645.8,645.95,645.15,645.35,51081,09:54:00
01-01-2024,645.4,646.45,645.35,646.05,126600,09:55:00
01-01-2024,645.75,646.1,645.5,645.85,21625,09:56:00
01-01-2024,645.9,646.4,645.6,646.15,51663,09:57:00
01-01-2024,646.25,646.3,645.5,645.8,38119,09:58:00
01-01-2024,645.5,646.2,645.5,645.5,25053,09:59:00
01-01-2024,645.8,646,645,645.15,24150,10:00:00
01-01-2024,645.45,645.7,645.2,645.4,16391,10:01:00
01-01-2024,645.6,645.6,645.05,645.3,16088,10:02:00
01-01-2024,645.2,645.55,645.2,645.2,10137,10:03:00
01-01-2024,645.2,645.4,644.8,645,19982,10:04:00
01-01-2024,644.9,645.15,644.5,645,12960,10:05:00
01-01-2024,645,645.25,644.85,644.95,10553,10:06:00
01-01-2024,644.95,645.5,644.95,645.5,15867,10:07:00
01-01-2024,645.25,645.5,645.2,645.5,9823,10:08:00
01-01-2024,645.4,645.45,645,645.2,11524,10:09:00
01-01-2024,645.2,645.2,644.75,645,14448,10:10:00
01-01-2024,644.7,645,644.6,644.7,6960,10:11:00
01-01-2024,644.65,644.95,644.65,644.95,8221,10:12:00
01-01-2024,644.95,645.05,644.6,645,27017,10:13:00
01-01-2024,644.9,645.05,644.7,644.95,14301,10:14:00
01-01-2024,644.95,645,644.9,644.9,11043,10:15:00
01-01-2024,645,645,644.6,644.7,8561,10:16:00
01-01-2024,644.6,645,644.6,644.85,8041,10:17:00
01-01-2024,644.85,645,644.7,644.7,19011,10:18:00
01-01-2024,644.85,644.85,644.6,644.85,4170,10:19:00
01-01-2024,644.85,645.5,644.8,645.4,30061,10:20:00
01-01-2024,645.4,645.4,645,645,18872,10:21:00
01-01-2024,645.25,645.25,644.75,644.95,5726,10:22:00
01-01-2024,644.95,645,644.3,645,77982,10:23:00
01-01-2024,645.05,645.35,644.45,644.8,9320,10:24:00
01-01-2024,644.85,645.35,644.75,645.1,20661,10:25:00
01-01-2024,645.1,645.8,645.1,645.7,26809,10:26:00
01-01-2024,645.6,645.9,645.3,645.5,26822,10:27:00
01-01-2024,645.75,645.9,645.05,645.7,24492,10:28:00
01-01-2024,645.75,646,645.65,646,31934,10:29:00
01-01-2024,645.8,646,645.65,645.85,6839,10:30:00
01-01-2024,645.85,646,645.7,645.8,14650,10:31:00
01-01-2024,645.95,645.95,645.4,645.95,19812,10:32:00
01-01-2024,645.95,646,645.7,645.7,12953,10:33:00
01-01-2024,645.7,646,645.7,645.7,9305,10:34:00
01-01-2024,645.7,645.8,645.1,645.1,18953,10:35:00
01-01-2024,645.1,645.45,645.1,645.35,4363,10:36:00
01-01-2024,645.15,645.8,645.1,645.8,7856,10:37:00
01-01-2024,645.5,645.8,645.45,645.75,5308,10:38:00
01-01-2024,645.6,646.2,645.6,646,40340,10:39:00
01-01-2024,646.15,646.9,646,646.55,99547,10:40:00
01-01-2024,646.5,646.8,646.05,646.2,31299,10:41:00
01-01-2024,646.2,646.4,645.85,646.3,14912,10:42:00
01-01-2024,646.3,646.3,645.85,646.3,16994,10:43:00
01-01-2024,646.25,646.35,645.8,646.05,20800,10:44:00
01-01-2024,646.35,646.35,645.65,645.7,42923,10:45:00
01-01-2024,645.65,646.15,645.65,646,14657,10:46:00
01-01-2024,646.1,646.1,645.65,645.75,12010,10:47:00
01-01-2024,645.75,646.2,645.65,645.8,18157,10:48:00
01-01-2024,645.8,646.15,645.8,645.85,15533,10:49:00
01-01-2024,646,646.15,645.8,645.95,6903,10:50:00
01-01-2024,645.9,646.15,645.85,646.1,7471,10:51:00
01-01-2024,646.1,646.15,645.9,646,6451,10:52:00
01-01-2024,646,646.25,645.95,646,10114,10:53:00
01-01-2024,646,646.55,645.6,646.2,32848,10:54:00
01-01-2024,646.2,646.6,646.05,646.35,15281,10:55:00
01-01-2024,646.35,646.5,646.05,646.15,9388,10:56:00
